"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"1852-91";"E";"M";23,67988;0,00000;12,66874;12,66935;0,00;"00001";0,00;0,00
"01";"70-50-33.80";"E";"M";34,82865;0,00000;14,17788;14,17788;0,00;"22";0,00;0,00
"01";"50-70-30";"E";"M";55,74387;0,00000;31,27066;31,27066;0,00;"22";0,00;0,00
"01";"40-50-7";"E";"M";20,70487;0,00000;7,84321;0,00000;0,00;"22";0,00;0,00
"01";"1852-92";"E";"M";12,47100;0,00000;6,67199;6,67125;0,00;"00001";0,00;0,00
"01";"1852-93";"E";"M";10,99852;0,00000;5,88421;5,88392;0,00;"00001";0,00;0,00
"01";"4901-M-ARRAQ";"E";"M";697,17404;0,00000;501,96531;501,96531;0,00;"30";0,00;0,00
"01";"4901-LLV/007";"E";"M";46,01950;0,00000;28,45192;28,45192;0,00;"30";0,00;0,00
"01";"4900-45";"E";"M";88,85964;0,00000;59,98101;59,98101;0,00;"4131";0,00;0,00
"01";"3G2720";"E";"M";444,27416;0,00000;297,17044;297,17044;0,00;"2";0,00;0,00
"01";"4901-FC/1";"E";"M";21,70856;0,00000;15,63233;15,63233;0,00;"30";0,00;0,00
"01";"4901-LAM/24V-55V";"ELECTRICIDAD";"M";9,38781;0,00000;3,27000;3,27000;0,00;"30";0,00;0,00
"01";"4901-ESCOB/4";"E";"M";13,82328;0,00000;10,00685;10,00685;0,00;"30";0,00;0,00
"01";"0000000000000000";;"U";1,00000;0,00000;1,00000;1,00000;0,00;"00000";0,00;0,00
"01";"1T0577";"07050409";"M";21,05000;0,00000;0,00000;0,00000;4,00;"2";0,00;0,00
"01";"9G2991";"07050402";"M";80,82000;0,00000;68,70000;0,00000;0,00;"2";0,00;0,00
"01";"1T0686";"07050419";"M";23,23000;0,00000;0,00000;18,29000;1,00;"2";0,00;0,00
"01";"1901-35X52X10";"E";"M";7,55472;0,00000;4,60135;4,60375;0,00;"11";0,00;0,00
"01";"5P1294";;"M";2,37400;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"1901-25X33X6";"E";"M";10,89034;0,00000;0,00000;7,60881;-1,00;"22";0,00;0,00
"01";"1901-25.5X42.9X7";"E";"M";25,78342;0,00000;6,19643;0,06100;0,00;"40029";0,00;0,00
"01";"1901-31.2X50.8X7";"E";"M";30,53141;0,00000;21,03542;0,12600;0,00;"40029";0,00;0,00
"01";"5P1296";"090204";"M";2,22000;0,00000;0,00000;2,40889;17,88;"3";0,00;0,00
"01";"8D3786";"E";"M";17,06273;0,00000;11,41322;11,41322;0,00;"2";0,00;0,00
"01";"5P1291";"070601";"M";1,14000;0,00000;0,00000;0,77698;0,00;"3";0,00;0,00
"01";"5P1295";"090104";"M";2,34000;0,00000;0,00000;0,52856;66,00;"2";0,00;0,00
"01";"4902-3";"E";"M";107,82157;0,00000;82,93967;82,93967;0,00;"136";0,00;0,00
"01";"9S3068";;"M";55,48544;0,00000;0,00000;19,94000;0,00;"2";0,00;0,00
"01";"6V1781";"E";"M";78,70855;0,00000;61,00273;0,36600;0,00;"3";0,00;0,00
"01";"9W9856";"070501";"M";355,59000;0,00000;0,00000;355,59000;2,00;"339";0,00;0,00
"01";"3P7447";"E";"M";523,41000;0,00000;206,13513;0,00000;0,00;"2";0,00;0,00
"01";"3P7489";"E";"M";112,68000;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
